temperature,humidity,rainfall,region,season,crop
26.7,63.5,844.4,10,rabi,pulses
30.9,76.3,2396.6,2,rabi,maize
26.3,56.3,1221.6,5,rabi,sugarcane
30.3,53.1,1258.2,4,summer,wheat
26.2,59.2,2236.5,12,kharif,rice
23.9,50.1,1227.1,3,rabi,rice
28.9,52.3,1108.4,8,kharif,millet
29.8,72.8,1394.4,2,summer,fruits
20.1,77.4,456.1,13,rabi,cotton
26.8,47.2,1291.8,2,rabi,maize
24.7,72.8,2255.3,1,kharif,barley
21.1,76.9,472.7,13,rabi,groundnut
23.0,88.6,2716.5,12,rabi,spices
30.9,44.6,2963.7,15,kharif,spices
26.8,67.7,232.6,14,summer,millet
33.8,64.1,1129.6,7,kharif,maize
21.0,47.2,1483.5,3,kharif,jute
28.6,61.4,1100.4,3,summer,rice
33.9,42.2,606.2,7,rabi,maize
24.2,42.1,1839.2,2,rabi,rice
23.3,75.8,784.1,7,summer,maize
33.0,67.9,893.2,9,summer,cotton
32.0,59.1,1386.9,5,summer,wheat
25.1,87.8,1905.8,11,summer,coconut
22.1,79.8,1319.7,4,kharif,wheat
29.6,66.2,1510.1,11,rabi,rice
31.5,63.7,1788.6,2,kharif,tea
27.7,54.1,1362.4,1,rabi,maize
31.6,46.0,604.2,8,kharif,pulses
24.7,75.4,1699.4,1,kharif,barley
31.8,51.0,2030.4,15,kharif,coconut
25.5,44.9,1543.1,1,kharif,potato
33.2,55.4,445.3,13,summer,groundnut
22.5,66.8,1193.0,3,rabi,jute
20.2,76.2,657.6,9,kharif,soybean
33.8,63.3,328.9,14,summer,cumin
20.3,88.6,669.6,13,rabi,cotton
31.2,46.7,3296.7,15,summer,spices
27.0,87.7,643.7,13,summer,cotton
20.8,63.6,945.9,8,summer,millet
24.4,58.2,679.3,9,summer,cotton
20.8,60.1,416.6,13,summer,cotton
22.0,74.7,2081.4,12,kharif,spices
20.9,40.7,1679.5,2,rabi,maize
30.1,57.5,1367.6,2,kharif,rice
34.8,44.0,531.0,6,summer,wheat
26.0,53.0,691.7,6,kharif,mustard
26.5,81.3,1262.5,2,summer,tea
25.1,66.4,819.4,4,rabi,rice
26.8,58.0,707.2,7,summer,pulses
27.7,68.4,1035.8,8,summer,pulses
34.5,45.3,1109.7,8,kharif,pulses
26.6,49.6,757.0,6,summer,wheat
29.4,66.6,779.4,7,rabi,pulses
33.9,76.0,1183.9,5,kharif,sugarcane
34.4,85.4,1520.7,11,summer,rice
34.3,69.2,482.5,13,summer,cotton
28.6,78.2,842.3,10,rabi,millet
20.8,47.9,1774.4,12,rabi,rice
34.7,86.9,819.3,3,summer,rice
34.3,57.9,2547.3,12,summer,rice
21.1,69.7,993.2,6,kharif,mustard
25.9,46.7,3270.2,15,kharif,spices
29.0,50.0,1250.2,3,kharif,rice
27.4,58.6,1287.0,3,kharif,rice
25.3,67.3,883.9,5,summer,sugarcane
22.3,80.1,1076.0,4,rabi,rice
26.8,58.2,1188.7,4,rabi,wheat
21.5,42.7,2301.6,15,kharif,spices
32.3,78.9,2758.8,15,kharif,coconut
23.6,51.2,1476.5,2,rabi,maize
21.8,79.0,742.3,9,kharif,cotton
33.2,84.7,308.6,14,rabi,millet
20.8,84.9,686.8,13,summer,cotton
26.9,61.5,2539.0,11,summer,coconut
31.9,41.8,3012.4,15,kharif,coconut
27.1,40.0,1091.1,9,kharif,soybean
24.9,61.1,746.4,6,summer,wheat
34.0,42.0,2937.3,11,summer,coconut
23.5,79.9,808.2,4,summer,rice
31.8,47.5,1087.2,3,summer,jute
23.2,60.0,689.6,8,summer,millet
34.0,49.0,2025.8,1,rabi,potato
31.4,46.5,1084.5,7,rabi,pulses
27.2,40.1,1009.2,3,summer,rice
23.6,41.5,1269.9,5,summer,sugarcane
20.3,88.5,612.6,10,kharif,groundnut
27.5,74.4,2537.4,12,kharif,spices
27.3,80.4,1683.5,11,kharif,rice
22.3,67.8,2962.4,11,kharif,coconut
29.7,57.1,1057.5,9,summer,soybean
20.6,79.4,1172.5,3,summer,jute
